Code7,Affiliation Code,STATE
SBN,Sturgis Hospital,MI
SBO,St James Mercy Hospital,NY
SBQ,Stony Brook University Hospital,NY
SBR,Sebastian River Medical Center,FL
SBS,Blue Ridge Regional Hospital,NC
SBU,Stillwater Medical Center,OK
SBV,Saint Joseph Regional Hlth Ctr,TX
SBW,Saint Elizabeth Medical Center,NY
SBX,Adventist Medical Center-Selma,CA
SBY,Saint Louis University Hospital,MO
SC1,Swedish Edmonds Hospital,WA
SC3,Sharp Memorial Hospital,CA
SC4,St Joseph Memorial Hospital,IL
SC5,Sinai Grace Hospital,MI
SC6,Saint Mary's Regional Med Ctr,AR
SC7,Schneck Medical Center,IN
SC8,University Hospital Of Brooklyn,NY
SC9,San Leandro Hospital,CA
SCA,Ministry Sacred Heart Hospital,WI
SCB,Swift County Benson Hospital,MN
SCE,San Joaquin General Hospital,CA
SCG,Scenic Mountain Medical Center,TX
SCH,Salem Regional Medical Center,OH
SCI,St Christopher's Hosp For Chldn,PA
SCJ,Springs Memorial Hospital,SC
SCL,Franciscan St Elizth Hlth Crwfd,IN
SCN,Sedgwick County Hospital,CO
SCO,Children's Hlthcr Atlnta Scttsh,GA
SCP,Saint Clare's Hospital Boonton,NJ
SCQ,Saratoga Hospital,NY
SCR,Scheurer Hospital,MI
SCS,Saint Francis Medical Center,NJ
SCT,Saint Vincent's Hosp Westchstr,NY
SCV,Saint Joseph's Wayne Hospital,NJ
SCW,Southwest Georgia Reg Med Ctr,GA
SCX,Scotland Memorial Hospital,NC
SCY,Summit Oaks Hospital,NJ
SCZ,Saint Tammany Parish Hospital,LA
SD1,St Dominic Hospital,MS
SD2,Avera Saint Mary's Hospital,SD
SD3,Western Maryland Reg Med Ctr,MD
SD4,Peterson Regional Medical Ctr,TX
SD5,South Florida Baptist Hospital,FL
SD6,South Bay Hospital,FL
SD8,St Luke's Hospital Allentwn Cmp,PA
SDA,Sierra View District Hospital,CA
SDB,Southwest General Hospital,TX
SDC,San Dimas Community Hospital,CA
SDD,Saddleback Memorial Medical Ctr,CA
SDF,Saint Luke's Regional Med Ctr,IA
SDG,CHI Saint Vincent Nrth,AR
SDH,Saint David's Medical Center,TX
SDI,Phoebe Sumter Medical Center,GA
SDK,St Luke's Hospital,MA
SDL,St Luke's Hospital,OH
SDM,Southeast Grgia Hlth Sys Brnswk,GA
SDN,St Barnabas Hospital,NY
SDO,Exempla Saint Joseph Hospital,CO
SDP,Franciscan Saint Anthony Hlth,IN
SDQ,St Luke's Cornwall Hospital,NY
SDR,Saint James Healthcare,MT
SDS,NSMC Salem Hospital,MA
SDU,OSF Saint James-John W Albrecht,IL
SDV,San Joaquin Valley Rehab Hosp,CA
SDW,Mercy St Charles Hospital,OH
SDY,Sierra Nevada Memorial Hospital,CA
SDZ,Promise Hospital East LA,CA
SE1,Carilion Stonewall Jackson Hosp,VA
SE2,St Catherine Hospital,IN
SE4,St Mary's Medical Center,MO
SE7,Spanish Peaks Regional Hlth Ctr,CO
SE8,St Francis Regional Med Ctr,MN
SE9,Sunnyside Community Hospital,WA
SEA,Southeast Alabama Medical Ctr,AL
SED,Saint Francis Hospital,NY
SEF,St Francis Hospital,WA
SEG,Saint Vincent General Hospital,CO
SEH,St Elizabeth Regional Med Ctr,NE
SEI,Southwest Mississippi Reg Med,MS
SEJ,Scripps Hospital Encinitas,CA
SEL,Selby General Hospital,OH
SEM,Physicians Regional Med Ctr,TN
SEN,Saint Petersburg General Hosp,FL
SEO,San Mateo Medical Center,CA
SEQ,Essentia Hlth St Mrys-Detrt Lks,MN
SER,Vista Medical Center West,IL
SES,Saint Michael's Medical Center,NJ
SEU,Riverview Regional Medical Ctr,TN
SEV,Sumner County Hospital Dist 1,KS
SEW,Shelby Baptist Medical Center,AL
SEX,Singing River Hospital,MS
SEY,Mayo Clinic Health System Wycrs,GA
SEZ,Saint Elizabeth Hospital,WI
SF1,Tristar Medical Center,TN
SF2,Sierra Medical Center,TX
SF3,Seton Medical Center,CA
SF5,Soldiers & Sailors Mem Hosp,PA
SF7,Sierra Vista Regional Hlth Ctr,AZ
SF9,Saint Michael's Hospital Avera,SD
SFA,St Luke's Hospital,ND
SFD,Stanford Hospital & Clinics,CA
SFF,Sakakawea Medical Center,ND
SFG,Stroud Regional Medical Center,OK
SFH,OSF Saint Francis Medical Ctr,IL
SFI,Saint Francis Hospital,WV
SFJ,Swedish Medical Center,WA
SFL,Saint Mark's Hospital,UT
SFM,Atlanta Medical Center S Cmps,GA
SFN,Saint Francis Memorial Hospital,CA
SFP,Saint Francis Hosp & Med Ctr,CT
SFQ,Sweetwater Hospital Association,TN
SFR,Self Regional Health Care,SC
SFS,Sherman Oaks Hospital,CA
SFT,Saint Helena Hospital,CA
SFU,South Baldwin Regional Med Ctr,AL
SFV,Springhill Memorial Hospital,AL
SFW,Saint Jude Childrens Rsrch Hosp,TN
SFY,Geisinger-Shamokin Area Comm,PA
SFZ,Southern Inyo Healthcare Dist,CA
SG1,Salina Regional Health Center,KS
SG2,South Pointe Hospital,OH
SG3,Surprise Valley Hlth Care Dis,CA
SG4,Medstar St Mary's Hospital,MD
SG5,Southwest Memorial Hospital,CO
SG6,South Hampton Memorial Hospital,VA
SG8,Sterling Regional Medical Ctr,CO
SG9,Saint Elizabeth Healthcare,KY
SGA,Stevens Community Medical Ctr,MN
SGC,Southside Regional Medical Ctr,VA
SGE,St Joseph Med Ctr-Main Campus,PA
SGG,Saint Luke's South Hospital,KS
SGH,Shady Grove Adventist Hospital,MD
SGI,Saint Francis Hospital Memphis,TN
SGK,Schoolcraft Memorial Hospital,MI
SGL,Saint Anne's Hospital,MA
SGN,CHI St Vincent Hosp Hot Spgs,AR
SGO,Sierra Vista Hospital,CA
SGQ,Sampson Regional Medical Center,NC
SGR,Sheridan Community Hospital,MI
SGS,Medstar Southern Maryland Hosp,MD
SGT,St Thomas More Hospital,CO
SGU,Sharon Hospital,CT
SGV,San Gabriel Valley Medical Ctr,CA
SGW,St Anthony Regional Hospital,IA
SGX,Cabinet Peaks Medical Center,MT
SGY,Stormont-Vail Reg Hlth Cntr,KS
SGZ,Integris Seminole Medical Ctr,OK
SH1,Wheaton Franciscan St Francis,WI
SH2,Swedish Covenant Hospital,IL
SH3,Seton Edgar B Davis Hospital,TX
SH4,Providence Saint Mary Med Ctr,WA
SH5,Camden Clark Med Ctr St Josph,WV
SH7,Stamford Hospital,CT
SH8,Sturgis Regional Hospital,SD
SH9,Santa Barbara Cottage Hospital,CA
SHA,Summerville Medical Center,SC
SHC,Mission Trail Baptist Hospital,TX
SHD,Saint Mary's Regional Med Ctr,ME
SHE,Southview Hospital,OH
SHF,Norton Suburban Hospital,KY
SHG,Sandhills Regional Medical Ctr,NC
SHH,Saint John's Pleasant Vlly Hosp,CA
SHI,Specialty Hospital Jacksonville,FL
SHJ,Saint Elizabeth's Medical Ctr,MA
SHK,Providence Saint Joseph Med Ctr,MT
SHL,South Lake Hospital,FL
SHM,Providence Sacred Heart Med Ctr,WA
SHN,Advocate Sherman Hospital,IL
SHO,Sharon Regional Health System,PA
SHP,Southern Ocean Medical Center,NJ
SHQ,Saint Elizabeth Hospital,LA
SHS,Shands Live Oak Regnl Med Ctr,FL
SHT,St Bernardine Medical Center,CA
SHU,Sistersville General Hospital,WV
SHV,Saint Luke's Hospital,NC
SHW,Pioneer Community Hosp Stokes,NC
SHX,Seven Rivers Regional Med Ctr,FL
SHY,SMHC Biddeford Hospital,ME
SHZ,Saint Francis Medical Center,CA
SI1,Essentia Hlth St Josphs Med Ctr,MN
SI5,Dr P Phillips Hospital,FL
SI6,Saint Clare Hospital,WA
SI8,Saint John Macomb-Oakland Hosp,MI
SIA,Saint Thomas West Hospital,TN
SIB,Sibley Memorial Hospital,DC
SID,Springbrook Hospital,FL
SIG,St Vincent Hospital,WI
SIH,Staten Island Univ Hosp-North,NY
SII,Seton Highland Lakes Med Center,TX
SIK,Stringfellow Memorial Hospital,AL
SIL,Saint John's Hospital,IL
SIM,Simi Valley Hospital,CA
SIN,Springfield Hospital,PA
SIO,Saint Joseph's Hospital,MN
SIQ,Sierra Tucson,AZ
SIS,Summers County ARH Hospital,WV
SIT,South Central Regional Med Ctr,MS
SIU,Saint John's Medical Center,WY
SIV,Saint Luke's Hospital,MN
SIW,Summersville Regional Med Ctr,WV
SIX,Saint John's Hospital,MN
SIY,Southside Hospital,NY
SIZ,Somerset Hospital,PA
SJ1,Saint Vincent Morrilton,AR
SJ2,Saline Memorial Hospital,AR
SJ3,Optim Medical Center Screven,GA
SJ5,St Catherine Of Siena Med Ctr,NY
SJ6,Savoy Medical Center,LA
SJ8,St Joseph Health Center,OH
SJA,Saint Joseph's Hospital,FL
SJB,Saint Anthony Hospital,OR
SJC,Saint Joseph Mercy Ann Arbor,MI
SJE,St Nicholas Hospital,WI
SJF,San Joaquin Community Hospital,CA
SJH,Mercy St Anne Hospital,OH
SJI,Saint Joseph Hosp & Medical Ctr,AZ
SJJ,Mercy Hospital Saint Louis,MO
SJL,Univ Marylnd St Jsph Med Ctr,MD
SJM,Peacehealth St John Medical Ctr,WA
SJN,St John's Episcopal Hospital,NY
SJO,Saint Joseph Medical Center,WA
SJP,Dignity Health St Jsphs Med Ctr,CA
SJR,Aurora Sheboygan Mem Med Ctr,WI
SJS,St Cloud Regional Medical Ctr,FL
SJT,St Joseph Medical Center,TX
SJU,Saint Jude Medical Center,CA
SJW,South Haven Health System,MI
SJX,TJ Samson Community Hospital,KY
SJY,Inspira Medical Center Vineland,NJ
SJZ,St Lukes Miners Campus,PA
SK1,Smith Northview Hospital,GA
SK2,Southeast Arizona Medical Ctr,AZ
SK3,Springfield Hospital,VT
SK5,Sycamore Shoals Hospital,TN
SK6,Weatherford Regional Hospital,OK
SK7,Socorro General Hospital,NM
SK9,Lowell General Hospital Saints,MA
SKA,St Peter's Hospital,MT
SKB,St Aloisius Medical Center,ND
SKC,St Joseph's Hospital/Health Ctr,ND
SKE,Saint Vincent's Saint Clr Hosp,AL
SKF,Skiff Medical Center,IA
SKG,San Francisco Gen Hosp Med Ctr,CA
SKH,St Lukes Medical Center,AZ
SKK,Strong Memorial Hospital,NY
SKL,Saint Luke's The Woodlands Hosp,TX
SKO,St Luke's Jerome,ID
SKQ,Southeastern Ohio Reg Med Ctr,OH
SKS,St Luke's Hospital,IA
SKT,Sierra Vista Hospital,NM
SKU,Spring Valley Hospital Med Ctr,NV
SKV,Saint Joseph's Hosp Hlth Ctr,NY
SKW,Presence Sts Mry/Elzbth Med Ctr,IL
SKX,Saint Alexius Hospital,MO
SKY,Tristar Skyline Medical Center,TN
SKZ,Saint Charles Parish Hospital,LA
SL1,Smyth County Community Hospital,VA
SL3,St Bernard Hospital,IL
SL5,Baptist Health Med Ctr-Stuttgrt,AR
SL8,Saint Martin Hospital,LA
SL9,Sabine Medical Center,LA
SLA,Silver Cross Hospital,IL
SLB,Samaritan Hospital,NY
SLC,Aurora St Lukes Medical Center,WI
SLD,Summerlin Hospital Medical Ctr,NV
SLF,Baylor Scott & White Mem Hosp,TX
SLH,St Luke's Baptist Hospital,TX
SLI,Slidell Memorial Hospital,LA
SLM,Saint Luke's Boise Medical Ctr,ID
SLN,Southern Winds Hospital,FL
SLP,Sutter Lakeside Hospital,CA
SLQ,Siloam Springs Memorial Hosp,AR
SLR,Lincoln Health St Andrews Cmpus,ME
SLS,Saint Louis Children's Hospital,MO
SLT,Salt Lake Regional Medical Ctr,UT
SLU,Saint Louise Regional Hospital,CA
SLY,Shelby Memorial Hospital,IL
SM1,Saint Francis Memorial Hospital,NE
SM2,Avera Sacred Heart Hospital,SD
SM3,Saint Claire Regional Med Ctr,KY
SM4,Cox Medical Center Branson,MO
SM5,South Shore Hospital,IL
SM6,Sunnyview Hospital & Rehab Ctr,NY
SM7,Samaritan Healthcare,WA
SM8,Cherokee Regional Medical Ctr,IA
SMA,Saint Mary's Good Samaritan Inc,IL
SMB,South Miami Hospital,FL
SMC,St Joseph Mission Hosp Lguna,CA
SMD,Ridgeview Sibley Medical Center,MN
SME,Baylor St Luke's Medical Center,TX
SMF,St Anthony's Medical Center,MO
SMH,Sturdy Memorial Hospital,MA
SMI,Shawnee Mission Medical Ctr Inc,KS
SMJ,Hillcrest Hospital South,OK
SMK,Saint Rose Domncn Hosp Sna Cmps,NV
SMM,Saint Mary's Hospital,CT
SMN,Ministry Saint Michael's Hosp,WI
SMO,St Mary's Medical Center,WV
SMR,St Mary's Healthcare System,GA
SMS,Carondelet Saint Mary's Hosp,AZ
SMT,Hoboken University Medical Ctr,NJ
SMV,Syringa General Hospital,ID
SMW,Regional Medical Center Acdiana,LA
SMY,Saint Mary's Warrick Hospital,IN
SMZ,Sylvan Grove Hospital,GA
SN1,South Nassau Communities Hosp,NY
SN2,Scott Memorial Hospital,IN
SN3,Northlake Behavioral Health Sys,LA
SN4,Avera St Anthony's Hospital,NE
SN5,Straith Hospital For Surgery,MI
SNA,Sonora Regional Medical Center,CA
SND,San Antonio Community Hospital,CA
SNE,Santa Clara Valley Medical Ctr,CA
SNF,Essentia Health St Mrys Med Ctr,MN
SNG,Riverside Shore Memorial Hosp,VA
SNL,Saint Gabriel's Hospital,MN
SNM,Scott Regional Hospital,MS
SNN,Scripps Green Hospital,CA
SNO,Susan B Allen Memorial Hospital,KS
SNP,Saint Anthony's Mem Hosp,IL
SNQ,Shenandoah Memorial Hospital,VA
SNR,Southern Regional Medical Ctr,GA
SNS,Southern Tennessee Reg Hlth Sys,TN
SNT,Houston Methodist Sn Jcnto Hosp,TX
SNU,Southwest Medical Center,KS
SNV,Sevier Medical Center,UT
SNW,Saint Mary's Hospital,MN
SNX,Integris Southwest Medical Ctr,OK
SNY,Scripps Mercy Hospital,CA
SNZ,San Francisco VA Medical Center,CA
SO1,Saint Elizabeths Hospital,DC
SO3,Silverton Hospital,OR
SO4,Story County Medical Center,IA
SO5,Saint Alphonsus Medical Center,OR
SO7,Stephens Memorial Hospital,ME
SO8,Spring Harbor Hospital,ME
SO9,Spring Grove Hospital Center,MD
SOB,Saint Clares Health Ctr Sussx,NJ
SOC,South County Hosp Hlthcre Sys,RI
SOD,St Francis Healthcare Campus,MN
SOF,Samuel Simmonds Memorial Hosp,AK
SOH,Saint Rose Hospital,CA
SOJ,Southern Virginia Reg Med Ctr,VA
SOK,Mayo Clinic Health Sys St Jms,MN
SOL,Soldiers & Sailors Mem Hosp,NY
SOM,Rivers Edge Hospital & Clinic,MN
SON,Saint John Hospital & Med Ctr,MI
SOO,Centracare Health-Sauk Centre,MN
SOP,Sleepy Eye Medical Center,MN
SOQ,Saint Elizabeth's Medical Ctr,MN
SOR,Saint Catherine Hospital,KS
SOS,South Shore Hospital,MA
SOT,South Peninsula Hospital,AK
SOV,Sitka Community Hospital,AK
SOW,Southwestern Vermont Med Ctr,VT
SOX,San Angelo Community Med Ctr,TX
SOY,South Bighorn County Hospital,WY
SOZ,South Lincoln Medical Center,WY
SP1,Stewart Memorial Community Hosp,IA
SP3,Siskin Hospital Physcl Rehab,TN
SP4,Stanislaus Surgical Hospital,CA
SP5,Centra Southside Community Hosp,VA
SP6,Sidney Health Center,MT
SP7,Shriners Hospital For Children,WA
SP8,Richmond University Medical Ctr,NY
SP9,Schuyler Hospital,NY
SPA,Sparks Regional Medical Center,AR
SPB,Spartanburg Regional Med Ctr,SC
SPC,Sinai Hospital Of Baltimore,MD
SPD,Springfield Hospital Center,MD
SPE,Sheppard Pratt Hospital,MD
SPF,Silver Hill Hospital,CT
SPH,Spencer Municipal Hospital,IA
SPI,San Gorgonio Memorial Hospital,CA
SPJ,Samaritan Regional Health Sys,OH
SPK,Saint Patrick Hospital,MT
SPL,Saint Mary's Regional Med Ctr,NV
SPM,Boston Children's Hospital,MA
SPN,Spaulding Rehabilitation Hosp,MA
SPP,St Joseph Regional Med Ctr,ID
SPR,Saint Alphonsus Reg Med Ctr,ID
SPS,Saint Peters University Hosp,NJ
SPT,Sharkey Issaquena Community Hos,MS
SPU,South Mississippi State Hosp,MS
SPV,Saunders Medical Center,NE
SPW,Sparrow Hospital,MI
SPX,Sauk Prairie Hospital,WI
SPY,Saint Anthony Hospital,IL
SPZ,Saint Francis Medical Center,NE
SQ1,The Specialty Hospital Of Merdn,MS
SQ2,Stone County Hospital Inc,MS
SQ3,Sharp Chula Vista Medical Ctr,CA
SQ5,UK Health Care Good Samaritan,KY
SQ8,Southern Ohio Medical Center,OH
SQ9,Elmwood Heathcare Center Sprngs,OH
SQA,Saint Joseph Medical Center,WA
SQB,St Vincent's Medical Center,CT
SQC,Kindred Hospital Of Santa Ana,CA
SQD,Samaritan Medical Center,NY
SQE,Santiam Memorial Hospital,OR
SQF,Southern Coos Hosp & Hlth Ctr,OR
SQG,St Joseph Hospital,ME
SQH,Sequoia Hospital,CA
SQJ,St Luke Community Hospital,MT
SQK,Shodair Children's Hospital,MT
SQL,Stillwater Billings Clinic,MT
SQP,Sanpete Valley Hospital,UT
SQQ,Starr County Memorial Hospital,TX
SQR,South Davis Community Hospital,UT
SQS,Saint John's Regional Med Ctr,CA
SQT,Santa Ynez Valley Cottage Hosp,CA
SQU,Stephens Memorial Hospital Dis,TX
SQV,Seneca Healthcare District Hosp,CA
SQW,Stamford Memorial Hospital,TX
SQX,Swisher Memorial Hospital,TX
SQY,Simpson General Hospital,MS
SQZ,South Sunflower County Hospital,MS
SR1,Saint Mary Medical Center,IN
SR2,IU Health Starke Hospital,IN
SR3,Sullivan County Community Hosp,IN
SR4,Saint Anthony Hospital South,OK
SR5,Share Medical Center,OK
SR7,Shawano Medical Center,WI
SR8,Southwest Health Center,WI
SR9,Sartori Memorial Hospital,IA
SRA,Santa Rosa Medical Center,FL
SRD,Sacred Heart Hospital,PA
SRE,Saint Rose Dominican Hospitals,NV
SRF,Presence Saint Francis Hospital,IL
SRG,Salem Hospital,OR
SRH,Presence Saint Joseph Hospital,IL
SRK,OSF Saint Mary Medical Center,IL
SRL,Salem Township Hospital,IL
SRM,Sarah D Culbertson Mem Hosp,IL
SRN,Spalding Regional Hospital,GA
SRO,San Ramon Regional Medical Ctr,CA
SRQ,Adventist Medical Center Reedly,CA
SRR,Sparta Community Hospital,IL
SRS,Saint Francis Hospital,DE
SRT,St Rita's Medical Center,OH
SRU,St Joseph Hospital,CA
SRV,Sierra Vista Regional Med Ctr,CA
SRW,Southwestern Behavioral Health,OK
SRX,Lakewood Health System,MN
SRY,Bayfront Health Spring Hill,FL
SRZ,Saint John Sapulpa,OK
SS2,Sutter General Hospital,CA
SS3,Sayre Memorial Hospital,OK
SS4,Seiling Community Hospital,OK
SS5,Saint Elizabeth Community Hosp,CA
SS6,Southwestern Medical Center,OK
SS7,Specialty Hospital Midwest City,OK
SS8,Sutter Amador Hospital,CA
SS9,St Mary's Community Hospital,NE
SSA,Shelby Cty Chrs A Myrt Mem Hosp,IA
SSB,Shenandoah Medical Center,IA
SSC,Sioux Center Health,IA
SSD,Sac-Osage Hospital,MO
SSE,Saint Joseph Medical Center,MO
SSG,Saint Anthony Hospital,OK
SSH,Salem Memorial District Hosp,MO
SSI,Samaritan Memorial Hospital,MO
SSK,Scotland County Hospital,MO
SSM,Montefiore New Rochelle Hosp,NY
SSN,Kaiser Foundation Hospital,CA
SSP,Saint Joseph Hospital East,KY
SSQ,Sullivan County Memorial Hosp,MO
SSR,Saint Genevieve Cty Mem Hosp,MO
SSS,Ochsner Med Center Baton Rouge,LA
SST,Ministry St Joseph's Hospital,WI
SSU,Saint Mary's Health Center,MO
SSV,Mercy Hospital Washington,MO
SSX,Mercy Hospital Joplin,MO
SSY,St Paul University Hospital,TX
ST1,Satanta District Hospital,KS
ST2,Scott County Hospital,KS
ST3,Sedan City Hospital,KS
ST4,Sutter Auburn Faith Hospital,CA
ST5,Sheridan County Health Complex,KS
ST6,Smith County Memorial Hospital,KS
ST7,South Central Kansas Med Ctr,KS
ST8,Specialty Hospital Of Mid-Amrca,KS
ST9,Stafford County Hospital,KS
STA,Saint Anthony Hlth Mich City,IN
STB,Sutter Memorial Hospital,CA
STC,Saint Charles Bend,OR
STD,St Vincent Medical Center,CA
STE,Stephens County Hospital,GA
STF,Bon Secours St Frncs Hlth Sys,SC
STG,Mercy Hospital Northwst Arknsas,AR
STH,St John Medical Center,OK
STJ,St Joseph Regional Medical Ctr,IN
STK,Sabetha Community Hospital,KS
STL,St Vincents Med Ctr Sthsde,FL
STM,St Mary's Regional Medical Ctr,OK
STN,Saint Barnabas Medical Center,NJ
STP,St Peter's Hospital,NY
STQ,Order Of St Frncs St Frncs Hosp,MI
STR,St Mary Medical Center,PA
STS,St Francis Medical Center,LA
STT,Summa Saint Thomas Hospital,OH
STU,St Mary's Medical Center,FL
STV,Providence St Vincent Med Ctr,OR
STW,Stonewall Jackson Memorial Hosp,WV
STX,Pawnee Valley Community Hosp,KS
STY,Columbia St Mary's Hospital,WI
STZ,Saint Cloud Hospital,MN
SU1,Penn State Milton S Hershey Med,PA
SU2,Straub Clinic & Hospital,HI
SU3,St Mary-Corwin Medical Center,CO
SU7,UF Health At Jacksonville,FL
SUA,Saint Anthony Hospital,CO
SUB,Stanton County Hospital,KS
SUC,Stevens County Hospital,KS
SUD,Sumner Regional Medical Center,KS
SUE,Sutter Medical Center Snta Rsa,CA
SUF,St Helena Parish Hospital,LA
SUG,Saint James Parish Hospital,LA
SUH,Sunrise Hospital Medical Center,NV
SUI,Sutter Coast Hospital,CA
SUJ,Sutter Davis Hospital,CA
SUK,Saint Luke's Hospital,MO
SUL,Sutter Delta Medical Center,CA
SUN,Sutter Hth Roseville Med Cntr,CA
SUO,Sutter Solano Medical Center,CA
SUP,Sutter Tracy Community Hospital,CA
SUR,RWJ University Hosp Somerset,NJ
SUT,South Texas Regional Med Ctr,TX
SUU,Seton Smithville Regional Hosp,TX
SUV,Springfield Reg Med Center,OH
SUW,St Vincent Charity Medical Ctr,OH
SUX,Spectrum Health Reed City Hosp,MI
SUY,Mercy Hospital Berryville,AR
SUZ,Shepherd Center Inc,GA
SV1,Saint Vincent Hospital,PA
SV3,Shoshone Medical Center,ID
SV5,Steele Memorial Medical Center,ID
SV8,Saint Andrew's Health Center,ND
SVA,Saint Vincent Healthcare,MT
SVB,Scottsdale Healthcare-Osborn,AZ
SVC,Mercy St Vincent Medical Center,OH
SVD,SMC Regional Medical Center,AR
SVE,Taylorville Memorial Hospital,IL
SVF,Heart Of Rockies Reg Med Ctr,CO
SVG,San Luis Valley Health,CO
SVH,Christus St Vincent Reg Med Ctr,NM
SVJ,South Georgia Medical Center,GA
SVK,U Of F Health Shands Hospital,FL
SVL,South Seminole Behavioral Hlth,FL
SVM,Skagit Valley Hospital,WA
SVN,St Vincent's Medical Center,FL
SVO,St Lukes Quakertown Hosp,PA
SVP,Sacred Heart Hosp Emerald Coast,FL
SVQ,Emory Saint Josephs Hospital,GA
SVS,Shands Starke Regional Med Ctrr,FL
SVT,Saint Vincent's Hospital Brmghm,AL
SVX,Sentara Norfolk General Hosp,VA
SVY,Sebasticook Valley Health,ME
SW3,Franciscan St Elizabeth Cntl Hl,IN
SW4,St Vincent Indianapolis Hosp,IN
SW5,St John River District Hospital,MI
SW6,Saint Francis Hospital/Hth Svs,MO
SW9,St Mary Mercy Livonia Hospital,MI
SWA,Swedish American Health System,IL
SWC,SSM Saint Clare Health Center,MO
SWD,Mercy Hospital Fort Smith,AR
SWE,Swedish Medical Center,CO
SWF,SSM Saint Joseph Hospital West,MO
SWG,Southwest General Health Center,OH
SWI,Summit Prk Hosp & Nursing Care,NY
SWK,St Johns Rvrsd Hosp Andrus Pav,NY
SWM,Peacehealth Southwest Med Ctr,WA
SWP,St Mary's Of Michigan Standish,MI
SWQ,Seton Medical Center Austin,TX
SWS,Saint Joseph's Regional Med Ctr,NJ
SWT,St Lawrence Rehabilitation Ctr,NJ
SWU,Saint Margaret's Hospital,IL
SWV,Advocate South Suburban Hosp,IL
SWX,Sentara Princess Ann Hospital,VA
SWY,Sweeny Community Hospital,TX
SX1,Shands Lakeshore Reg Med Ctr,FL
SXB,Saint Vincent Carmel Hospital,IN
SXC,Christus Hospital St Mry Cmps,TX
SXE,Tristar Southern Hills Med Ctr,TN
SXF,St Mary's Hospital,VA
SXG,St Agnes Medical Center,CA
SXH,St Elizabeth Healthcare Florenc,KY
SXI,Community Hospital Of Sn Brndno,CA
SXJ,Providence Saint John's Health,CA
SXK,Franciscan St Margaret Hlth Dyr,IN
SXL,Carondelet Saint Joseph's Hosp,AZ
SXM,Pioneer Community Hosp Of Scott,TN
SXN,Valley Hospital,WA
SXQ,Mercy Hospital Aurora,MO
SXR,Mercy Hospital Lebanon,MO
SXS,Saint Alexius Medical Center,ND
SXU,Providence Littl Co Mry Med Ctr,CA
SXV,Sanford USD Medical Center,SD
SXW,Mercy Hospital Cassville,MO
SXX,Mercy Hospital Springfield,MO
SXY,Mercy Saint Francis Hospital,MO
SXZ,St Vincent Rehabilitation Hosp,AR
SYA,Stanly Regional Medical Center,NC
SYD,Hospital Menonita Caguas,PR
SYH,St Mary Medical Center,CA
SYK,Peacehealth Sacred Hrt Med Ctr,OR
SYM,Soldiers' Home In Holyoke,MA
SYN,Shriners Hospital,MA
SYP,St Mary's Hospital,CO
SYQ,Spalding Hospital North Shore,MA
SYR,Shriners Hospital For Children,MA
SYU,Stillman Infirmary,MA
SYW,Saint Paul's School,NH
SYX,Mount Sinai Rehabilitation Hosp,CT
SYY,St John Medical Center,OH
SZA,Saint Mary's Hospital,NJ
SZB,Saint Clares Hlth Sys Dvr Gnrl,NJ
SZC,Saint Clare's Hospital Denville,NJ
SZD,Sunrise House,NJ
SZF,Inspira Medical Center Elmer,NJ
SZG,Saint Barnabas Behavioral Hlth,NJ
SZI,Mount Sinai Roosevelt Hosp,NY
SZJ,South Beach Psychiatric Center,NY
SZK,Staten Island Univ Hosp-South,NY
SZL,Sea View Hospital Rehab Center,NY
SZN,Sing Sing Correctional Facility,NY
SZO,Saint Josephs Medical Center,NY
SZP,St Johns Riverside Parkcare,NY
SZQ,Cohen Children's Medical Center,NY
SZR,St Mary's Hospital For Children,NY
SZS,South Oaks Hospital,NY
SZT,Sagamore Children's Psych Ctr,NY
SZV,Syosset Hospital,NY
SZW,Saint Mary's Healthcare,NY
SZX,Albany Stratton VA Medical Ctr,NY
SZY,Saint Francis Hosp Trng Pnt,NY
SZZ,Sisters Of Charity Hospital,NY
T01,Texas Hlth Presby Hosp Flwr Mnd,TX
T02,Texas Health Heart/Vsclr Hosp,TX
TA1,Tahoe Forest Hospital,CA
TA2,Novant Health Thomasvil Med Ctr,NC
TA3,Three Rivers Health,MI
TA4,Carilion Tazewell Comm Hosp,VA
TA5,IU Health Tipton Hospital,IN
TA6,Tuomey Regional Medical Center,SC
TA8,Trinity Medical Center East,OH
TAA,Turning Point Hospital,GA
TAB,Trumbull Memorial Hospital,OH
TAC,Town & Country Hospital,FL
TAD,Tyrone Hospital,PA
TAE,Thomas Hospital,AL
TAF,Baylor Medical Center Carrolltn,TX
TAG,T C Thompson Children's Hosp,TN
TAH,Trident Medical Center,SC
TAI,Thomas Jefferson Univ Hosp,PA
TAJ,Twin County Regional Hospital,VA
TAK,Tulare Regional Medical Center,CA
TAM,Tacoma General Hospital,WA
TAN,Texas Orthopedic Hospital,TX
TAO,Tuscaloosa VA Medical Center,AL
TAP,Tuality Forest Grove Hospital,OR
TAQ,Theda Clark Medical Center,WI
TAR,Tiffin Developmental Center,OH
TAS,Teton Medical Center,MT
TAT,Toledo Hospital,OH
TAV,Tuality Community Hospital,OR
TAW,Northeastern Health System,OK
TAX,Tri-State Memorial Hospital,WA
TAY,Titus Regional Medical Center,TX
TAZ,Tehachapi Healthcare District,CA
TB1,Sanford Tracy Medical Center,MN
